Species,Database,management_practices.value,management_practices.unit,conservation_notes.value,threats.value,threats.unit,scope.value,scope.unit,timing.value,timing.unit,severity.value,severity.unit,score.value,score.unit,threats_notes.value,threats.value1,threats.value2,threats.value3,scope.value1,scope.value2,scope.value3,timing.value1,timing.value2,timing.value3,severity.value1,severity.value2,severity.value3,score.value1,score.value2,score.value3,management_practices.value1,management_practices.value2,threats.value4,threats.value5,threats.value6,threats.value7,threats.value8,scope.value4,scope.value5,scope.value6,scope.value7,scope.value8,timing.value4,timing.value5,timing.value6,timing.value7,timing.value8,severity.value4,severity.value5,severity.value6,severity.value7,severity.value8,score.value4,score.value5,score.value6,score.value7,score.value8,threats.value9,threats.value10,threats.value11,threats.value12,threats.value13,threats.value14,threats.value15,threats.value16,scope.value9,scope.value10,scope.value11,scope.value12,scope.value13,scope.value14,scope.value15,scope.value16,timing.value9,timing.value10,timing.value11,timing.value12,timing.value13,timing.value14,timing.value15,timing.value16,severity.value9,severity.value10,severity.value11,severity.value12,severity.value13,severity.value14,severity.value15,severity.value16,score.value9,score.value10,score.value11,score.value12,score.value13,score.value14,score.value15,score.value16,management_practices.value3,management_practices.value4,management_practices.value5,management_practices.value6,management_practices.value7,management_practices.value8,management_practices.value9,management_practices.value10,threats.value17,threats.value18,threats.value19,threats.value20,threats.value21,scope.value17,scope.value18,scope.value19,scope.value20,scope.value21,timing.value17,timing.value18,timing.value19,timing.value20,timing.value21,severity.value17,severity.value18,severity.value19,severity.value20,severity.value21,score.value17,score.value18,score.value19,score.value20,score.value21,threats.value22,threats.value23,scope.value22,scope.value23,timing.value22,timing.value23,severity.value22,severity.value23,score.value22,score.value23,threats.value24,threats.value25,threats.value26,threats.value27,scope.value24,scope.value25,scope.value26,scope.value27,timing.value24,timing.value25,timing.value26,timing.value27,severity.value24,severity.value25,severity.value26,severity.value27,score.value24,score.value25,score.value26,score.value27,management_practices.value11,threats.value28,threats.value29,threats.value30,threats.value31,threats.value32,threats.value33,scope.value28,scope.value29,scope.value30,scope.value31,scope.value32,scope.value33,timing.value28,timing.value29,timing.value30,timing.value31,timing.value32,timing.value33,severity.value28,severity.value29,severity.value30,severity.value31,severity.value32,severity.value33,score.value28,score.value29,score.value30,score.value31,score.value32,score.value33,threats.value34,threats.value35,timing.value34,timing.value35,score.value34,score.value35
Ara_militaris,anage,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Tourism & recreation areas,Annual & perennial non-timber crops,Agro-industry farming,Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,Rapid Declines,"Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Low Impact: 5,Low Impact: 5,Site/area protection,Site/area management,Mining & quarrying,Roads & railroads,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Intentional use (species is the target),Minority (<50%),Minority (<50%),Majority (50-90%),Minority (<50%),Majority (50-90%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,"Slow, Significant Declines",Rapid Declines,Rapid Declines,"Slow, Significant Declines",Rapid Declines,Low Impact: 5,Medium Impact: 6,Medium Impact: 7,Low Impact: 5,Medium Impact: 7,Persecution/control,Logging & wood harvesting,Unintentional effects: (large scale) [harvest],Dams & water management/use,Large dams,Problematic native species/diseases (Sciurus aureogaster),Named species (Sciurus aureogaster),NA,Minority (<50%),Majority (50-90%),Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),NA,Ongoing,Ongoing,Ongoing,Future,Future,Ongoing,Ongoing,NA,"Slow, Significant Declines",Rapid Declines,Rapid Declines,Negligible declines,Negligible declines,"Slow, Significant Declines","Slow, Significant Declines",NA,Low Impact: 5,Medium Impact: 7,Medium Impact: 7,No/Negligible Impact: 2,No/Negligible Impact: 2,Low Impact: 5,Low Impact: 5,NA,Species management,Trade management,Ex-situ conservation,Captive breeding/artificial propagation,Awareness & communications,Linked enterprises & livelihood alternatives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_militaris,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Tourism & recreation areas,Annual & perennial non-timber crops,Agro-industry farming,Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,Rapid Declines,"Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Low Impact: 5,Low Impact: 5,Site/area protection,Site/area management,Mining & quarrying,Roads & railroads,Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Intentional use (species is the target),Minority (<50%),Minority (<50%),Majority (50-90%),Minority (<50%),Majority (50-90%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,"Slow, Significant Declines",Rapid Declines,Rapid Declines,"Slow, Significant Declines",Rapid Declines,Low Impact: 5,Medium Impact: 6,Medium Impact: 7,Low Impact: 5,Medium Impact: 7,Persecution/control,Logging & wood harvesting,Unintentional effects: (large scale) [harvest],Dams & water management/use,Large dams,Problematic native species/diseases (Sciurus aureogaster),Named species (Sciurus aureogaster),NA,Minority (<50%),Majority (50-90%),Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),NA,Ongoing,Ongoing,Ongoing,Future,Future,Ongoing,Ongoing,NA,"Slow, Significant Declines",Rapid Declines,Rapid Declines,Negligible declines,Negligible declines,"Slow, Significant Declines","Slow, Significant Declines",NA,Low Impact: 5,Medium Impact: 7,Medium Impact: 7,No/Negligible Impact: 2,No/Negligible Impact: 2,Low Impact: 5,Low Impact: 5,NA,Species management,Trade management,Ex-situ conservation,Captive breeding/artificial propagation,Awareness & communications,Linked enterprises & livelihood alternatives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_rubrogenys,iucn,NA,unit,"Conservation Actions Underway
CITES Appendix I and II. It is considered nationally Critically Endangered in Bolivia (Rojas et al. 2009). Its capture, transport and export is prohibited under Bolivian law (Fuller and Gaski 1987), although this is not effectively enforced (Herrera and Hennessey 2007). In 1992, 5,000 posters urging the protection of macaws and their habitat were made and apparently well received throughout the region. Non-breeding birds occur in the southern edge of Amboro National Park (S. K. Herzog in litt. 2007, A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012). Two municipal protected areas have been created at Pasorapa (1,796 km2) and Mollepampa-Lagarpampa (303 km2) (J. Cahill in litt. 2012). Armonía has a long-term conservation project on the Rio Mizque working with three subsistence farming communities to protect a breeding cliff with 11-13 active nests  (A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012). An ecotourism lodge was inaugurated here in 2006 with proceeds going to the local communities, and it is planned to establish a protected area at this site (S. K. Herzog in litt. 2007). There are significant numbers of the species at the Santa Cruz Zoo in Bolivia and at  zoos and in private holdings outside Bolivia (J. D. Gilardi in litt.  2012), but no formal management plan for these birds.
Conservation Actions Proposed
Continue surveying and monitoring (Clarke and Duran Patiño 1991, Snyder et al. 2000). Fence key patches of gallery forest to limit cattle-grazing and permit vegetation to regenerate (Snyder et al. 2000). Effectively enforce trade laws (Herrera and Hennessey 2007). Organise awareness campaigns (Clarke and Duran Patiño 1991). Identify suitable sites for protected areas throughout the species's range (Kyle 2005, A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012). Establish education programs to reduce nest-poaching and trapping. Assess the costs of compensating crop damage to avoid persecution of macaws in agricultural areas, and investigate alternatives to resolve the conflict between agriculture and macaw conservation as the main threat for the species (A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012). Create a management plan for captive birds in ex-situ conservation, involving Bolivia and foreign countries, and incorporate pets and illegally traded birds into this programme (J. D. Gilardi, A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012).
",NA,unit,NA,unit,NA,unit,NA,unit,NA,unit,"Its original natural habitat is inter-Andean dry forest but this has been degraded to thorn and cactus scrub by centuries (if not millennia) of highly unsustainable human activities, nowadays mainly overgrazing by goats, firewood cutting and charcoal production (S. K. Herzog in litt. 2007). An estimated 40% of natural vegetation in valleys within its range had been converted to agriculture by 1991, with other areas degraded by intense grazing. Several important food trees are harvested for fuel and charcoal. As food plants are lost, agricultural land is used more, thereby increasing the species's exposure to persecution as a crop-pest, and the use of firearms for pest control has been recorded (Brace et al. 1995). Macaws are also potentially threatened by pesticides applied to crops where macaws forage mostly during the non-breeding season (A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012). Illegal trapping continues, but has been reduced as a result of legal protection (Pitter and Christiansen 1995, Juniper and Parr 1998, Herrera and Hennessey 2007, A. Rojas in litt. 2007). The majority of the Bolivian parrot trade is domestic, but more valuable threatened species end up in Peru or further afield. 26 Red-fronted Macaws were recorded passing through the Los Pozos pet market, Santa Cruz between August 2004-July 2005, and there are four other wildlife markets in the city and others in Cochabamba, suggesting this figure may only represent a small proportion of birds illegally trafficked in the country (Herrera and Hennessey 2007). In 2011, 45 Red-fronted Macaws were recorded in houses; some had been taken from nests as nestlings, but most of them were trapped when foraging in crops. In 2017, more than 100 individuals were found as cage birds in local communities (J. L. Tella in litt. 2017). Most were kept as pets, but some were to sell to in major cities (A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012). The two main threats appear to be nest-poaching and trapping for local pet supply, and persecution as crop pests (especially in corn and peanut cultivations), and possibly contamination by pesticides applied to crops  (A. Rojas, F. Hiraldo and J. L. Tella in litt. 2012, J. L. Tella in litt. 2017). 
",Annual & perennial non-timber crops,Small-holder farming,Agro-industry farming,Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Low Impact: 5,Low Impact: 5,Low Impact: 5,Site/area protection,Site/area management,Livestock farming & ranching,"Small-holder grazing, ranching or farming",Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Intentional use (species is the target),Majority (50-90%),Majority (50-90%),Majority (50-90%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Medium Impact: 6,Medium Impact: 6,Low Impact: 5,Low Impact: 5,Persecution/control,Logging & wood harvesting,Unintentional effects: (subsistence/small scale) [harvest],Agricultural & forestry effluents,Herbicides and pesticides,NA,NA,NA,Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),NA,NA,NA,Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,NA,NA,NA,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",NA,NA,NA,Medium Impact: 6,Low Impact: 5,Low Impact: 5,Low Impact: 5,Low Impact: 5,NA,NA,NA,Species management,Trade management,Ex-situ conservation,Captive breeding/artificial propagation,Awareness & communications,Compliance and enforcement,National level,Substitution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_rubrogenys,anage,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Annual & perennial non-timber crops,Small-holder farming,Agro-industry farming,Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Low Impact: 5,Low Impact: 5,Low Impact: 5,Site/area protection,Site/area management,Livestock farming & ranching,"Small-holder grazing, ranching or farming",Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Intentional use (species is the target),Majority (50-90%),Majority (50-90%),Majority (50-90%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Medium Impact: 6,Medium Impact: 6,Low Impact: 5,Low Impact: 5,Persecution/control,Logging & wood harvesting,Unintentional effects: (subsistence/small scale) [harvest],Agricultural & forestry effluents,Herbicides and pesticides,NA,NA,NA,Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),NA,NA,NA,Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,NA,NA,NA,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",NA,NA,NA,Medium Impact: 6,Low Impact: 5,Low Impact: 5,Low Impact: 5,Low Impact: 5,NA,NA,NA,Species management,Trade management,Ex-situ conservation,Captive breeding/artificial propagation,Awareness & communications,Compliance and enforcement,National level,Substitution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_rubrogenys,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,Annual & perennial non-timber crops,Small-holder farming,Agro-industry farming,Minority (<50%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Low Impact: 5,Low Impact: 5,Low Impact: 5,Site/area protection,Site/area management,Livestock farming & ranching,"Small-holder grazing, ranching or farming",Hunting & trapping terrestrial animals,Hunting & trapping terrestrial animals,Intentional use (species is the target),Majority (50-90%),Majority (50-90%),Majority (50-90%),Minority (<50%),Minority (<50%),Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",Medium Impact: 6,Medium Impact: 6,Medium Impact: 6,Low Impact: 5,Low Impact: 5,Persecution/control,Logging & wood harvesting,Unintentional effects: (subsistence/small scale) [harvest],Agricultural & forestry effluents,Herbicides and pesticides,NA,NA,NA,Majority (50-90%),Minority (<50%),Minority (<50%),Minority (<50%),Minority (<50%),NA,NA,NA,Ongoing,Ongoing,Ongoing,Ongoing,Ongoing,NA,NA,NA,"Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines","Slow, Significant Declines",NA,NA,NA,Medium Impact: 6,Low Impact: 5,Low Impact: 5,Low Impact: 5,Low Impact: 5,NA,NA,NA,Species management,Trade management,Ex-situ conservation,Captive breeding/artificial propagation,Awareness & communications,Compliance and enforcement,National level,Substitution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_severus,iucn,value,unit,"NA",value,unit,value,unit,value,unit,value,unit,value,unit,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_severus,anage,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ara_severus,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aratinga_acuticaudata,iucn,value,unit,"Conservation Actions Underway
The species is listed under CITES Appendix II.",value,unit,value,unit,value,unit,value,unit,value,unit,"The species has been heavily traded: since 1981 when it was listed on CITES Appendix II, 193,299 wild-caught individuals have been recorded in international trade (UNEP-WCMC CITES Trade Database, January 2005).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aratinga_acuticaudata,anage,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aratinga_acuticaudata,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aratinga_aurea,iucn,value,unit,"Conservation Actions Underway
The species is listed under CITES Appendix II.",value,unit,value,unit,value,unit,value,unit,value,unit,"The species has been heavily traded: since 1981, when it was listed on CITES Appendix II, 61,311 wild-caught individuals have been recorded in international trade (UNEP-WCMC CITES Trade Database, January 2005).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aratinga_aurea,eol,value,unit,value,value,unit,value,unit,value,unit,value,unit,value,unit,value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
